RequestID,Date,Time,IP,Protocol,Method,Scale,TileRow,TileColumn,URI,Status,Bytes,TimeTaken,Referer,UserAgent,Cookie,DateNumber
8772,9/3/2013,39:57.0,-,0,0,19,164420,317010,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/19/164420/317010,200,2821,0,-,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8773,9/3/2013,39:57.0,-,0,0,19,164422,317010,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/19/164422/317010,200,2821,1,-,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,-,3
8774,9/3/2013,39:57.0,-,0,0,16,21481,40887,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/21481/40887,200,14781,1,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727),-,3
8775,9/3/2013,39:57.0,-,0,0,10,366,534,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/366/534,200,25959,0,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8776,9/3/2013,39:57.0,-,0,0,10,369,529,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/369/529,200,26782,1,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8777,9/3/2013,39:57.0,-,0,0,10,370,529,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/370/529,200,25303,0,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8778,9/3/2013,39:57.0,-,0,0,10,367,534,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/10/367/534,200,26815,0,-,"ArcGISiOS-10.1.1/6.1.2/iPad3,6",-,3
8779,9/3/2013,39:57.0,-,0,0,18,85244,169045,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/85244/169045.jpg,200,2821,0,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),-,3
8780,9/3/2013,39:57.0,-,0,0,18,85245,169045,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/18/85245/169045.jpg,200,2821,0,-,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E),-,3
8781,9/3/2013,39:57.0,-,0,0,13,3043,2103,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/13/3043/2103,200,6009,0,-,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8782,9/3/2013,39:57.0,-,0,0,13,3045,2102,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/13/3045/2102,200,17843,0,-,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8783,9/3/2013,39:57.0,-,0,0,13,3045,2103,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/13/3045/2103,200,5942,1,-,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8784,9/3/2013,39:56.0,-,0,0,16,25288,18594,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/25288/18594,200,21085,1,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; MS-RTC LM 8; .NET4.0C; .NET4.0E),-,3
8785,9/3/2013,39:56.0,-,0,0,16,25289,18594,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/16/25289/18594,200,21452,1,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; MS-RTC LM 8; .NET4.0C; .NET4.0E),-,3
8786,9/3/2013,39:57.0,-,0,0,5,11,18,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/11/18,200,41735,1,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
8787,9/3/2013,39:57.0,-,0,0,5,13,18,/origin-services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/5/13/18,200,15532,0,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",-,3
